Date,Close/Last,Volume,Open,High,Low,WeekofYear,OpentoClose %,OpentoOpen(1day) %,IS today a friday
1/31/2020,$8.82,59813730,$8.78,$8.84,$8.74,5,-0.004555809,-3.41E-03,1
1/30/2020,$8.84,42827800,$8.81,$8.84,$8.73,5,-0.003405221,-4.52E-03,0
1/29/2020,$8.86,59070710,$8.85,$8.96,$8.84,5,-0.001129944,-1.01E-02,0
1/28/2020,$8.97,85163400,$8.94,$9,$8.86,5,-0.003355705,6.76E-03,0
1/27/2020,$8.89,60769340,$8.88,$8.96,$8.78,5,-0.001126126,-2.53E-02,0
1/24/2020,$9,68100950,$9.11,$9.12,$8.96,4,0.012074643,-3.28E-03,1
1/23/2020,$9.14,75848670,$9.14,$9.16,$8.93,4,0,-8.68E-03,0
1/22/2020,$9.16,39914760,$9.22,$9.25,$9.15,4,0.006507592,7.65E-03,0
1/21/2020,$9.21,49556420,$9.15,$9.22,$9.10,4,-0.006557377,-4.35E-03,0
1/17/2020,$9.16,41644870,$9.19,$9.23,$9.13,3,0.003264418,-4.33E-03,1
1/16/2020,$9.17,44310390,$9.23,$9.28,$9.15,3,0.006500542,-4.32E-03,0
1/15/2020,$9.19,55923870,$9.27,$9.30,$9.18,3,0.008629989,5.42E-03,0
1/14/2020,$9.29,42936050,$9.22,$9.33,$9.21,3,-0.007592191,-3.24E-03,0
1/13/2020,$9.24,48562150,$9.25,$9.26,$9.11,3,0.001081081,-2.16E-03,0
1/10/2020,$9.25,39819240,$9.27,$9.36,$9.25,2,0.002157497,-3.23E-03,1
1/9/2020,$9.26,51905120,$9.30,$9.31,$9.18,2,0.004301075,7.58E-03,0
1/8/2020,$9.25,46003050,$9.23,$9.30,$9.17,2,-0.002166847,3.26E-03,0
1/7/2020,$9.25,45334550,$9.20,$9.25,$9.12,2,-0.005434783,1.10E-02,0
1/6/2020,$9.16,43380680,$9.10,$9.17,$9.06,2,-0.006593407,-2.26E-02,0
1/3/2020,$9.21,45059920,$9.31,$9.37,$9.15,1,0.010741139,2.15E-03,1
1/2/2020,$9.42,43432240,$9.29,$9.42,$9.19,1,-0.013993541,4.32E-03,0
12/31/2019,$9.30,32345380,$9.25,$9.33,$9.24,53,-0.005405405,-9.64E-03,1
12/30/2019,$9.25,36085420,$9.34,$9.35,$9.23,53,0.009635974,-1.16E-02,0
12/27/2019,$9.36,28273600,$9.45,$9.46,$9.35,52,0.00952381,-2.11E-03,1
12/26/2019,$9.45,28982310,$9.47,$9.49,$9.43,52,0.002111932,3.18E-03,0
12/24/2019,$9.47,11881600,$9.44,$9.49,$9.43,52,-0.003177966,-6.32E-03,0
12/23/2019,$9.44,54795990,$9.50,$9.57,$9.40,52,0.006315789,0.00E+00,0
12/20/2019,$9.48,50199270,$9.50,$9.54,$9.44,51,0.002105263,-5.24E-03,1
12/19/2019,$9.41,42237370,$9.55,$9.57,$9.38,51,0.014659686,1.70E-02,0
12/18/2019,$9.54,45929400,$9.39,$9.58,$9.36,51,-0.015974441,1.07E-03,0
12/17/2019,$9.39,35516660,$9.38,$9.41,$9.31,51,-0.001066098,1.52E-02,0
12/16/2019,$9.39,42339950,$9.24,$9.39,$9.22,51,-0.016233766,-8.58E-03,0
12/13/2019,$9.23,35334490,$9.32,$9.39,$9.19,50,0.009656652,2.31E-02,1
12/12/2019,$9.32,48398720,$9.11,$9.36,$9.11,50,-0.023051592,5.52E-03,0
12/11/2019,$9.11,33205340,$9.06,$9.14,$9.06,50,-0.005518764,4.44E-03,0
12/10/2019,$9.07,34233140,$9.02,$9.10,$8.96,50,-0.005543237,5.57E-03,0
