Pyranine in 1-butanol 4th run 5 more minutes of sonication,,Pyranine in 1-butanol 5th run 10 more min sonication (20 total),,Pyranine in 1-butanol 5th rerun 10 more min sonication (20 total),,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
550.0012207,0.02733170055,550.0012207,0.02846365981,550.0012207,0.02866276354,
549.8133545,0.02729434893,549.8133545,0.02830506675,549.8133545,0.02851946652,
549.5878296,0.02724680118,549.5878296,0.02820083313,549.5878296,0.0285753645,
549.3999634,0.02732475474,549.3999634,0.0282082092,549.3999634,0.02855070494,
549.2119751,0.02729691193,549.2119751,0.02812670171,549.2119751,0.02862150967,
548.9864502,0.0272906553,548.9864502,0.02822072245,548.9864502,0.02862443961,
548.7984619,0.02738055401,548.7984619,0.02837212756,548.7984619,0.02876616828,
548.6104736,0.02733724192,548.6104736,0.02845945954,548.6104736,0.02884760126,
548.3849487,0.02738766745,548.3849487,0.0286046993,548.3849487,0.02881152928,
548.1968994,0.02734948322,548.1968994,0.02876984701,548.1968994,0.02876912616,
548.0089722,0.02736268751,548.0089722,0.02907320298,548.0089722,0.0288440343,
547.7833862,0.02729704976,547.7833862,0.02940195054,547.7833862,0.0288278237,
547.5953369,0.02736475505,547.5953369,0.02963224798,547.5953369,0.02889698558,
547.4073486,0.02727348357,547.4073486,0.02978026494,547.4073486,0.02891272679,
547.1817017,0.02745395154,547.1817017,0.03000690602,547.1817017,0.02896729298,
546.9936523,0.02744636871,546.9936523,0.03025337122,546.9936523,0.02899291739,
546.805603,0.02750177123,546.805603,0.03027984872,546.805603,0.02905311063,
546.6175537,0.02739166468,546.6175537,0.03038610891,546.6175537,0.02905186452,
546.3918457,0.02745695785,546.3918457,0.03059898317,546.3918457,0.02907835133,
546.2037964,0.02748566493,546.2037964,0.03071482293,546.2037964,0.02920272946,
546.015686,0.0273670163,546.015686,0.03082096763,546.015686,0.02920430712,
545.789978,0.02733528428,545.789978,0.03076061234,545.789978,0.02923379466,
545.6018677,0.02738162875,545.6018677,0.03079048358,545.6018677,0.02930152602,
545.4138184,0.02736277133,545.4138184,0.03069409728,545.4138184,0.02934090607,
545.1880493,0.02733773924,545.1880493,0.03070582263,545.1880493,0.02939499915,
544.999939,0.02735507861,544.999939,0.03063720465,544.999939,0.02936802059,
544.8118286,0.02740958706,544.8118286,0.03062206507,544.8118286,0.02947790921,
544.5860596,0.02728594095,544.5860596,0.0306952931,544.5860596,0.02942887507,
544.3978271,0.0272817798,544.3978271,0.03069206886,544.3978271,0.02945463918,
544.2097168,0.02715665661,544.2097168,0.03069084696,544.2097168,0.02943604998,
543.9838867,0.02719027549,543.9838867,0.03063598275,543.9838867,0.02948818728,
543.7957764,0.02724142745,543.7957764,0.03062387183,543.7957764,0.0295476187,
543.607605,0.02715492062,543.607605,0.03073721752,543.607605,0.02957327664,
543.3817139,0.02712538093,543.3817139,0.0306797903,543.3817139,0.0294563286,
543.1934814,0.02711816132,543.1934814,0.03069406934,543.1934814,0.02952766791,
543.0053101,0.02714888565,543.0053101,0.03085787408,543.0053101,0.02961786464,
542.8171387,0.02707325108,542.8171387,0.03073710576,542.8171387,0.02961755916,
542.5911865,0.0271220468,542.5911865,0.03063403815,542.5911865,0.02962653898,
542.4029541,0.02716304921,542.4029541,0.03044119105,542.4029541,0.02959763445,
542.2147217,0.02720959485,542.2147217,0.03031582013,542.2147217,0.02962947637,
541.9888306,0.02720463462,541.9888306,0.03024290688,541.9888306,0.02962069027,
541.8005371,0.02718148567,541.8005371,0.03019265085,541.8005371,0.02952664346,
541.6123047,0.02721830457,541.6123047,0.03027657233,541.6123047,0.02951234579,
541.3863525,0.02722078376,541.3863525,0.03032289818,541.3863525,0.02946422435,
541.1980591,0.02720675617,541.1980591,0.0304443296,541.1980591,0.0294087939,
541.0097656,0.02727497183,541.0097656,0.03063287213,541.0097656,0.02938403003,
540.7837524,0.02731742151,540.7837524,0.03075541556,540.7837524,0.02931958251,
540.595459,0.02734170854,540.595459,0.03093806095,540.595459,0.02929892205,
540.4071655,0.02743037604,540.4071655,0.03112804145,540.4071655,0.02929955907,
540.1810913,0.02750226669,540.1810913,0.03113505058,540.1810913,0.02918885835,
539.9928589,0.02745739929,539.9928589,0.03113354929,539.9928589,0.02908266895,
539.8044434,0.02749766037,539.8044434,0.03123537265,539.8044434,0.0290830303,
539.6160889,0.02758090012,539.6160889,0.03128152341,539.6160889,0.02909681387,
539.3900146,0.02756829374,539.3900146,0.03141179308,539.3900146,0.02914459258,
539.2017212,0.02753527835,539.2017212,0.03147067875,539.2017212,0.02901660651,
539.0133057,0.02756978385,539.0133057,0.03166880086,539.0133057,0.02909138799,
538.7872314,0.02757985145,538.7872314,0.03177108243,538.7872314,0.02897548303,
538.5988159,0.02772432938,538.5988159,0.03232586011,538.5988159,0.0290445853,
538.4104004,0.02777772211,538.4104004,0.03287592903,538.4104004,0.02894211188,
538.1843262,0.02774747834,538.1843262,0.03325183317,538.1843262,0.02895929478,
537.9958496,0.0277956333,537.9958496,0.03385700285,537.9958496,0.02901829407,
537.8074341,0.02773495205,537.8074341,0.03443711996,537.8074341,0.02889507636,
537.5812988,0.02776489034,537.5812988,0.03488882259,537.5812988,0.02885283157,
537.3928223,0.02778453939,537.3928223,0.03552872315,537.3928223,0.02884851582,
537.2044067,0.02776638046,537.2044067,0.0360589847,537.2044067,0.02871834859,
537.0159302,0.02781144716,537.0159302,0.03642850742,537.0159302,0.02867490426,
536.7897339,0.02778459527,536.7897339,0.03684638441,536.7897339,0.02872761339,
536.6012573,0.02778873406,536.6012573,0.03707322106,536.6012573,0.02868867479,
536.4127197,0.02771743014,536.4127197,0.03714534268,536.4127197,0.0285493508,
536.1865234,0.02772446722,536.1865234,0.03723485023,536.1865234,0.02855496295,
535.9980469,0.02770564891,535.9980469,0.03726863861,535.9980469,0.02857909724,
535.8095093,0.02763339318,535.8095093,0.03717362508,535.8095093,0.02851791866,
535.583252,0.02753296308,535.583252,0.0369665809,535.583252,0.02844091319,
535.3947754,0.02757358924,535.3947754,0.03674360365,535.3947754,0.0284934286,
535.2061768,0.02754777297,535.2061768,0.03643512353,535.2061768,0.02844168805,
535.0176392,0.02767761797,535.0176392,0.03620299324,535.0176392,0.02849702165,
534.7913208,0.02760862187,534.7913208,0.03573575988,534.7913208,0.02839285322,
534.6027832,0.02765871957,534.6027832,0.03511915728,534.6027832,0.02842861414,
534.4141846,0.02758054063,534.4141846,0.03422157094,534.4141846,0.02834654041,
534.1879272,0.02765697986,534.1879272,0.03325057775,534.1879272,0.02836336754,
533.9993286,0.02760354616,533.9993286,0.03231925145,533.9993286,0.02836657315,
