Baseline 100%T,,Pyranine in 10M water in 70:30 1-butanol:acetonitrile,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
549.9830322,0.03549183905,549.9830322,0.003391430015,
549.795105,0.03546147421,549.795105,0.0033742378,
549.6071777,0.03532930836,549.6071777,0.003389316844,
549.3816528,0.03519872949,549.3816528,0.003568948945,
549.1937256,0.03516765684,549.1937256,0.003515265649,
549.0057983,0.03577679396,549.0057983,0.003615173744,
548.8178101,0.03575127199,548.8178101,0.003548513632,
548.5922852,0.0355749093,548.5922852,0.003594031557,
548.4042969,0.03544765338,548.4042969,0.003638092196,
548.2162476,0.03526925296,548.2162476,0.003717089305,
547.9907227,0.03519856185,547.9907227,0.003712415928,
547.8027344,0.03515036777,547.8027344,0.003669078462,
547.6147461,0.03504405543,547.6147461,0.003622821998,
547.3890991,0.03494363651,547.3890991,0.003669574624,
547.2010498,0.03490542993,547.2010498,0.003784245579,
547.0130005,0.03484971821,547.0130005,0.003896387061,
546.7874146,0.03473170474,546.7874146,0.004013678525,
546.5993042,0.0347007215,546.5993042,0.004008270334,
546.4112549,0.03457949683,546.4112549,0.004080122802,
546.1855469,0.03447977453,546.1855469,0.004231547937,
545.9974976,0.03440377489,545.9974976,0.004417438991,
545.8093872,0.03431182355,545.8093872,0.004586248193,
545.5836792,0.03423358873,545.5836792,0.004564482719,
545.3955688,0.03415811062,545.3955688,0.004421230871,
545.2074585,0.03409513459,545.2074585,0.004406429827,
544.9817505,0.03393990174,544.9817505,0.004469586536,
544.7935791,0.03373928741,544.7935791,0.004613691475,
544.6054077,0.0336041227,544.6054077,0.004761089571,
544.4172974,0.0335580036,544.4172974,0.004861677531,
544.1914673,0.03343486041,544.1914673,0.004901887849,
544.0033569,0.03335144371,544.0033569,0.005050457548,
543.8151855,0.03331628069,543.8151855,0.005034535192,
543.5893555,0.0332159549,543.5893555,0.005099669099,
543.401123,0.03313657269,543.401123,0.005114729516,
543.2129517,0.03308463842,543.2129517,0.004916967824,
542.9870605,0.03378693387,542.9870605,0.004480283707,
542.7988892,0.03362834454,542.7988892,0.004179952201,
542.6106567,0.03347990289,542.6106567,0.003908976912,
542.3847656,0.03331155702,542.3847656,0.00383096328,
542.1964722,0.0332194455,542.1964722,0.003846580628,
542.0082397,0.03308989108,542.0082397,0.004017205443,
541.7823486,0.03301751614,541.7823486,0.004068233538,
541.5941162,0.03300802037,541.5941162,0.004059558734,
541.4058228,0.03300045058,541.4058228,0.004016552586,
541.2175293,0.03292705864,541.2175293,0.003947845194,
540.9915771,0.03217254207,540.9915771,0.003922585398,
540.8032837,0.03210893273,540.8032837,0.003934444394,
540.6149902,0.03199932352,540.6149902,0.003942855634,
540.3889771,0.03187776357,540.3889771,0.003971303813,
540.2006836,0.0317568779,540.2006836,0.003953774925,
540.0122681,0.031538371,540.0122681,0.004030921962,
539.7863159,0.03145645559,539.7863159,0.004034893587,
539.5979004,0.03135756031,539.5979004,0.004028544761,
539.4095459,0.03133004159,539.4095459,0.003953017294,
539.1834717,0.03122947551,539.1834717,0.003889230546,
538.9951172,0.03110924363,538.9951172,0.003925537225,
538.8067627,0.03104034066,538.8067627,0.003918536939,
538.5806885,0.03098178841,538.5806885,0.003987605218,
538.3922729,0.03093294613,538.3922729,0.003945441917,
538.2037964,0.03085167706,538.2037964,0.003957693465,
538.0153809,0.03075074777,538.0153809,0.003975222353,
537.7893066,0.03064214997,537.7893066,0.004035834223,
537.6008301,0.03058104031,537.6008301,0.004034345038,
537.4124146,0.03054093756,537.4124146,0.004131785594,
