Baseline 100%T,,Pyranine in d_H2O,,Pyranine in d_H2O1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
550.0012207,0.0400618203,550.0012207,0.002585196868,550.0012207,0.002721019322,
549.8133545,0.039885059,549.8133545,0.002611264121,549.8133545,0.002817305736,
549.5878296,0.03984434158,549.5878296,0.002577462699,549.5878296,0.002725135069,
549.3999634,0.03970768675,549.3999634,0.002548298799,549.3999634,0.002723650308,
549.2119751,0.03962019458,549.2119751,0.002629676135,549.2119751,0.002734486712,
548.9864502,0.04025952518,548.9864502,0.002630145056,548.9864502,0.002672675764,
548.7984619,0.04013767838,548.7984619,0.002564521041,548.7984619,0.002810297301,
548.6104736,0.04003340378,548.6104736,0.002653037664,548.6104736,0.002841276582,
548.3849487,0.03993264586,548.3849487,0.0026456411,548.3849487,0.002759885741,
548.1968994,0.0398311764,548.1968994,0.002666711342,548.1968994,0.002765434561,
548.0089722,0.03970890865,548.0089722,0.002671425464,548.0089722,0.002816654509,
547.7833862,0.03958772495,547.7833862,0.002660512459,547.7833862,0.002787526697,
547.5953369,0.03954638168,547.5953369,0.002560901688,547.5953369,0.002713647671,
547.4073486,0.03949472308,547.4073486,0.002552282764,547.4073486,0.00275504007,
547.1817017,0.03934384137,547.1817017,0.002597123384,547.1817017,0.002710287459,
546.9936523,0.03934970871,546.9936523,0.002550564241,546.9936523,0.002679291414,
546.805603,0.03924165666,546.805603,0.002577436855,546.805603,0.002730058273,
546.6175537,0.03922247514,546.6175537,0.002496069297,546.6175537,0.002691689413,
546.3918457,0.03908757865,546.3918457,0.002541112481,546.3918457,0.002727323212,
546.2037964,0.03898837045,546.2037964,0.002541607013,546.2037964,0.002660694765,
546.015686,0.038839221,546.015686,0.002629910596,546.015686,0.002734955633,
545.789978,0.03874768317,545.789978,0.002601237968,545.789978,0.002740295837,
545.6018677,0.03867619857,545.6018677,0.00259449333,545.6018677,0.00270971423,
545.4138184,0.03863349929,545.4138184,0.002566994866,545.4138184,0.002722738544,
545.1880493,0.03850984201,545.1880493,0.002566526178,545.1880493,0.002771686995,
544.999939,0.03835672885,544.999939,0.002621342428,544.999939,0.002845497569,
544.8118286,0.03825955465,544.8118286,0.002658142475,544.8118286,0.002717294265,
544.5860596,0.03812973201,544.5860596,0.002589858137,544.5860596,0.002773588756,
544.3978271,0.03801130503,544.3978271,0.002629988827,544.3978271,0.002836638596,
544.2097168,0.03790417686,544.2097168,0.002682521008,544.2097168,0.002797557041,
543.9838867,0.03786132857,543.9838867,0.002577228472,543.9838867,0.002772103762,
543.7957764,0.03774819896,543.7957764,0.002619415289,543.7957764,0.002772728913,
543.607605,0.03765209392,543.607605,0.002614076715,543.607605,0.00271396013,
543.3817139,0.03757237643,543.3817139,0.002546710661,543.3817139,0.002686948981,
543.1934814,0.03745063022,543.1934814,0.002611784963,543.1934814,0.002769420389,
543.0053101,0.03801376,543.0053101,0.002622175962,543.0053101,0.00273354887,
542.8171387,0.03790197521,542.8171387,0.00264069275,542.8171387,0.002800683491,
542.5911865,0.03772349283,542.5911865,0.002726359293,542.5911865,0.00289545022,
542.4029541,0.03764079884,542.4029541,0.002676999196,542.4029541,0.002846800489,
542.2147217,0.03757136315,542.2147217,0.002640796825,542.2147217,0.002805451164,
541.9888306,0.03745596483,541.9888306,0.002648558002,541.9888306,0.002802533098,
541.8005371,0.03745088354,541.8005371,0.002536946442,541.8005371,0.002712761983,
541.6123047,0.03738994151,541.6123047,0.002505025361,541.6123047,0.002687990898,
541.3863525,0.03732435033,541.3863525,0.002513461048,541.3863525,0.002689319197,
541.1980591,0.03730781749,541.1980591,0.002447047736,541.1980591,0.002631421201,
541.0097656,0.03659096733,541.0097656,0.002464281395,541.0097656,0.002640718594,
540.7837524,0.03650964424,540.7837524,0.002480734838,540.7837524,0.002652959432,
540.595459,0.03644770756,540.595459,0.002497318899,540.595459,0.002626004163,
540.4071655,0.03640359268,540.4071655,0.002477376256,540.4071655,0.002659236314,
540.1810913,0.0362711139,540.1810913,0.002480474534,540.1810913,0.002632150427,
539.9928589,0.03608680516,539.9928589,0.002561292145,539.9928589,0.002648219466,
539.8044434,0.03597737104,539.8044434,0.002608373528,539.8044434,0.002731569111,
539.6160889,0.0359017849,539.6160889,0.00258707162,539.6160889,0.002715861658,
539.3900146,0.03581170738,539.3900146,0.002603972331,539.3900146,0.002742197365,
539.2017212,0.03573235869,539.2017212,0.002603816101,539.2017212,0.002747068647,
539.0133057,0.0356435515,539.0133057,0.002564807422,539.0133057,0.002744463738,
538.7872314,0.03545386344,538.7872314,0.002683328465,538.7872314,0.002842396963,
538.5988159,0.03537679464,538.5988159,0.002672415227,538.5988159,0.002810766222,
538.4104004,0.03534997627,538.4104004,0.002653063741,538.4104004,0.00277856458,
538.1843262,0.03521018475,538.1843262,0.002755587222,538.1843262,0.002833355684,
537.9958496,0.03515196592,537.9958496,0.002679760102,537.9958496,0.002828405239,
537.8074341,0.03505174443,537.8074341,0.002702915808,537.8074341,0.002849223791,
537.5812988,0.03498112038,537.5812988,0.002634442179,537.5812988,0.002774526598,
537.3928223,0.03493255749,537.3928223,0.002635301556,537.3928223,0.002760406584,
537.2044067,0.03490127623,537.2044067,0.002602592111,537.2044067,0.002784400247,
537.0159302,0.03487804905,537.0159302,0.002560537076,537.0159302,0.00272474438,
536.7897339,0.0348222889,536.7897339,0.002584233182,536.7897339,0.002713725669,
536.6012573,0.03481095657,536.6012573,0.002562203677,536.6012573,0.002688694047,
536.4127197,0.03473975509,536.4127197,0.002556657186,536.4127197,0.002712579677,
536.1865234,0.03466351703,536.1865234,0.002633426571,536.1865234,0.002754857764,
535.9980469,0.03470470384,535.9980469,0.002571629826,535.9980469,0.002700415207,
535.8095093,0.03458863497,535.8095093,0.002614831785,535.8095093,0.002770983614,
535.583252,0.03450171649,535.583252,0.002708229702,535.583252,0.002824001946,
535.3947754,0.03449855,535.3947754,0.002643557498,535.3947754,0.002761552809,
535.2061768,0.03438578919,535.2061768,0.002719378332,535.2061768,0.002839009743,
535.0176392,0.03493553028,535.0176392,0.002745427657,535.0176392,0.002896805294,
534.7913208,0.03488562256,534.7913208,0.002776688896,534.7913208,0.00288367155,
534.6027832,0.03481241688,534.6027832,0.00277960673,534.6027832,0.002968135057,
534.4141846,0.03478436917,534.4141846,0.002789480612,534.4141846,0.002951116068,
534.1879272,0.03478765115,534.1879272,0.002753320849,534.1879272,0.002888075542,
533.9993286,0.03475133702,533.9993286,0.002699008677,533.9993286,0.002800553106,
533.8106689,0.03473010659,533.8106689,0.002653037664,533.8106689,0.002745323349,
533.5843506,0.03476852551,533.5843506,0.002584519796,533.5843506,0.002672884148,
533.395752,0.0348392278,533.395752,0.002531478414,533.395752,0.002660955302,
533.2070923,0.03484840319,533.2070923,0.002530619269,533.2070923,0.002644911874,
532.9807739,0.03420964256,532.9807739,0.002519397298,532.9807739,0.002653558506,
532.7920532,0.0341558978,532.7920532,0.002581707435,532.7920532,0.002702472964,
532.6033936,0.03413946182,532.6033936,0.002658767393,532.6033936,0.002714116359,
532.4147339,0.03415573016,532.4147339,0.002630535746,532.4147339,0.002726359293,
532.1883545,0.03408538923,532.1883545,0.002655642107,532.1883545,0.002791226143,
531.9995728,0.03407665342,531.9995728,0.002666086191,531.9995728,0.002766216174,
531.8109741,0.03403560817,531.8109741,0.002665148582,531.8109741,0.002863632981,
531.5845337,0.03404092789,531.5845337,0.002684839303,531.5845337,0.002830619924,
531.395752,0.03403535858,531.395752,0.002670071088,531.395752,0.00286040199,
531.2070923,0.03403043002,531.2070923,0.002743135206,531.2070923,0.002868974814,
530.9805908,0.03462348133,530.9805908,0.00280083972,530.9805908,0.002898420906,
530.7918701,0.03470784426,530.7918701,0.002732767491,530.7918701,0.002867124742,
530.6031494,0.03469592705,530.6031494,0.002769133775,530.6031494,0.00292226579,
530.4143677,0.03471247107,530.4143677,0.002758895746,530.4143677,0.002943036612,
530.1879272,0.03471171483,530.1879272,0.002790470608,530.1879272,0.002979994053,
529.9990845,0.03469870239,529.9990845,0.002817618428,529.9990845,0.003004182363,
529.8103027,0.03469889984,529.8103027,0.002867984585,529.8103027,0.003021385986,
529.5837402,0.03473377973,529.5837402,0.002850005403,529.5837402,0.003006189363,
529.3950195,0.03478529677,529.3950195,0.002757775597,529.3950195,0.00287788664,
529.2062378,0.03484012559,529.2062378,0.002649521688,529.2062378,0.002851230092,
529.017395,0.03490495309,529.017395,0.002616134007,529.017395,0.002777678892,
528.7908325,0.03503002599,528.7908325,0.002600352513,528.7908325,0.002720941091,
528.6019287,0.03509400785,528.6019287,0.002549054101,528.6019287,0.002715575276,
528.4130859,0.03517327085,528.4130859,0.002539654262,528.4130859,0.002723441925,
