Pyranine in Acetonitrile,,Pyranine in Acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,0.498085469,380,4.714776993,
380.1499939,0.4740055203,380.1499939,4.797120571,
380.4500122,0.508477807,380.4500122,5.240287304,
380.6000061,0.5548969507,380.6000061,5.417098045,
380.75,0.541505754,380.75,5.694126129,
381.0599976,0.5544773936,381.0599976,5.636668682,
381.2099915,0.6800151467,381.2099915,6.059597015,
381.3599854,0.6997001767,381.3599854,6.136609554,
381.6600037,0.7683268785,381.6600037,6.404509544,
381.8099976,0.7627765536,381.8099976,6.847797871,
381.9599915,0.7786880136,381.9599915,6.822774887,
382.269989,0.747345984,382.269989,7.197350502,
382.4200134,0.7419461608,382.4200134,7.312614441,
382.5700073,0.7919462323,382.5700073,7.130288601,
382.7200012,0.7716961503,382.7200012,7.674349308,
383.0299988,0.8229179382,383.0299988,7.701899529,
383.1799927,0.7495680451,383.1799927,7.749889374,
383.3299866,0.8358473778,383.3299866,7.953099728,
383.6300049,0.809243381,383.6300049,7.954445839,
383.7799988,0.8279463649,383.7799988,7.889041901,
383.9299927,0.9530541897,383.9299927,7.898776054,
384.2399902,0.9221667051,384.2399902,8.130809784,
384.3900146,0.832403183,384.3900146,8.459191322,
384.5400085,0.8037082553,384.5400085,8.375631332,
384.8399963,0.8532586098,384.8399963,8.56008625,
385,1.037690163,385,8.462885857,
385.1499939,0.932303369,385.1499939,8.799960136,
385.4500122,0.9940946698,385.4500122,9.085165977,
385.6000061,1.048170209,385.6000061,9.326497078,
385.75,1.023436069,385.75,9.602566719,
386.0599976,0.9482953548,386.0599976,9.515965462,
386.2099915,1.000393629,386.2099915,9.713370323,
386.3599854,1.052120924,386.3599854,9.943145752,
386.6600037,1.009979844,386.6600037,10.46080303,
386.8099976,1.156411052,386.8099976,10.69616127,
386.9599915,1.165413022,386.9599915,10.87590599,
387.269989,1.08366394,387.269989,11.33751392,
387.4200134,1.216482759,387.4200134,11.57385635,
387.5700073,1.116277933,387.5700073,11.73091984,
387.7200012,1.2012012,387.7200012,12.35922813,
388.0299988,1.397343755,388.0299988,13.29496861,
388.1799927,1.280773163,388.1799927,13.29788971,
388.3299866,1.489022732,388.3299866,13.79000187,
388.6300049,1.395516634,388.6300049,14.78998375,
388.7799988,1.499299049,388.7799988,15.25009155,
388.9299927,1.574639201,388.9299927,16.19314194,
389.2399902,1.645703554,389.2399902,17.63677216,
389.3900146,1.830690384,389.3900146,18.09789276,
389.5400085,1.692569137,389.5400085,18.37570572,
389.8399963,1.925807834,389.8399963,19.85615349,
390,2.046839476,390,20.55119896,
390.1499939,1.997848511,390.1499939,21.64412117,
390.4500122,2.394613981,390.4500122,24.82030869,
390.6000061,2.569693089,390.6000061,25.76921844,
390.75,2.639942646,390.75,26.52038765,
391.0599976,2.937796354,391.0599976,29.20882988,
391.2099915,2.978792191,391.2099915,31.41833115,
391.3599854,3.331475496,391.3599854,33.96183777,
391.6600037,3.979822159,391.6600037,40.9018364,
391.8099976,3.961859226,391.8099976,42.87636185,
391.9599915,4.081849098,391.9599915,44.04571533,
392.269989,4.774466038,392.269989,49.82358551,
392.4200134,4.969825745,392.4200134,52.46678925,
392.5700073,5.467734814,392.5700073,57.86075592,
392.7200012,5.9247756,392.7200012,63.19159317,
393.0299988,6.576459408,393.0299988,71.66955566,
393.1799927,7.136824608,393.1799927,74.61297607,
393.3299866,7.576214314,393.3299866,78.20787048,
393.6300049,8.650831223,393.6300049,89.09468842,
393.7799988,9.3101511,393.7799988,96.88500214,
393.9299927,10.2365675,393.9299927,106.2602692,
394.2399902,11.32172489,394.2399902,118.1823502,
394.3900146,11.9814539,394.3900146,122.6264038,
394.5400085,12.16815567,394.5400085,127.669693,
394.8399963,13.86794567,394.8399963,141.7108765,
395,14.70999241,395,152.3032379,
395.1499939,16.22997665,395.1499939,166.8072205,
395.4500122,18.07930756,395.4500122,185.1528473,
395.6000061,18.84307098,395.6000061,191.3559875,
395.75,19.73213577,395.75,200.3788452,
396.0599976,21.93464661,396.0599976,218.9276581,
396.2099915,22.9639492,396.2099915,234.7775726,
396.3599854,25.10195732,396.3599854,254.7192535,
396.6600037,27.48144913,396.6600037,277.4712524,
396.8099976,28.60276985,396.8099976,286.4890747,
396.9599915,29.55464363,396.9599915,296.0813904,
397.269989,32.04732132,397.269989,319.6924438,
397.4200134,33.68773651,397.4200134,336.0220642,
397.5700073,36.21258163,397.5700073,355.5868225,
397.7200012,37.20825195,397.7200012,369.4031677,
398.0299988,38.71727371,398.0299988,387.8971252,
398.1799927,40.43463135,398.1799927,398.1713562,
398.3299866,41.91067886,398.3299866,409.9542542,
398.6300049,45.05857849,398.6300049,443.630249,
398.7799988,46.61270523,398.7799988,459.0392456,
398.9299927,48.09030533,398.9299927,472.7391968,
