Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,79.45265961,380,0.4491810203,380,5.194143295,380,5.351608276,
381.0599976,91.53988647,381.0599976,0.7885567546,381.0599976,7.722970963,380.1499939,5.456592083,
381.9599915,104.8462219,381.9599915,1.122625232,381.9599915,10.29854488,380.4500122,6.19893074,
383.0299988,113.7044373,383.0299988,1.318765283,383.0299988,11.27970219,380.6000061,6.562609673,
383.9299927,115.2506866,383.9299927,1.243936539,383.9299927,11.09582138,380.75,6.935265064,
385,111.2473068,385,1.173617601,385,10.13050175,381.0599976,7.590661526,
386.0599976,103.2841263,386.0599976,1.032586694,386.0599976,8.711202621,381.2099915,7.909421921,
386.9599915,93.34939575,386.9599915,0.7184684277,386.9599915,7.465297222,381.3599854,8.112366676,
388.0299988,83.91979218,388.0299988,0.732619524,388.0299988,6.580016136,381.6600037,9.009076118,
388.9299927,78.46688843,388.9299927,0.6991122961,388.9299927,6.257103443,381.8099976,9.769731522,
390,74.85409546,390,0.5306614637,390,5.766727924,381.9599915,10.07553577,
391.0599976,74.50444031,391.0599976,0.5997920036,391.0599976,6.002347946,382.269989,10.49762535,
391.9599915,76.01389313,391.9599915,0.7303543687,391.9599915,5.845684052,382.4200134,10.79303455,
393.0299988,79.83796692,393.0299988,0.6358680129,393.0299988,6.163991451,382.5700073,10.84835529,
393.9299927,84.09989929,393.9299927,0.6571329832,393.9299927,6.675382137,382.7200012,11.08078671,
395,91.92453766,395,0.7281937599,395,6.955734253,383.0299988,11.35426903,
396.0599976,102.3871231,396.0599976,0.7152319551,396.0599976,7.658888817,383.1799927,11.42804432,
396.9599915,117.3900299,396.9599915,0.8213835359,396.9599915,8.531622887,383.3299866,11.47311497,
398.0299988,144.8120117,398.0299988,0.9803310037,398.0299988,10.12598991,383.6300049,11.32257271,
398.9299927,179.8704987,398.9299927,1.225581288,398.9299927,12.73074436,383.7799988,11.41797543,
400,227.4676514,400,1.631855845,400,15.90265369,383.9299927,11.20141888,
401.0599976,291.8146057,401.0599976,2.118996859,401.0599976,20.20506096,384.2399902,10.86460495,
401.9599915,370.2401428,401.9599915,2.65420413,401.9599915,26.09560585,384.3900146,10.69084644,
403.0299988,482.0880127,403.0299988,3.450092554,403.0299988,33.63030624,384.5400085,10.52279186,
403.9299927,617.4642334,403.9299927,4.390365601,403.9299927,42.88879395,384.8399963,10.41224575,
405,792.4719849,405,5.807504177,405,55.37176132,385,10.17199326,
406.0599976,1000,406.0599976,7.326032162,406.0599976,72.25949097,385.1499939,9.889866829,
