Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,79.45265961,380,0.4491810203,380,5.194143295,380,5.351608276,380,5.791408062,
381.0599976,91.53988647,381.0599976,0.7885567546,381.0599976,7.722970963,380.1499939,5.456592083,380.1499939,5.671016216,
381.9599915,104.8462219,381.9599915,1.122625232,381.9599915,10.29854488,380.4500122,6.19893074,380.4500122,6.153628826,
383.0299988,113.7044373,383.0299988,1.318765283,383.0299988,11.27970219,380.6000061,6.562609673,380.6000061,6.444192886,
383.9299927,115.2506866,383.9299927,1.243936539,383.9299927,11.09582138,380.75,6.935265064,380.75,6.733942986,
385,111.2473068,385,1.173617601,385,10.13050175,381.0599976,7.590661526,381.0599976,6.954314709,
386.0599976,103.2841263,386.0599976,1.032586694,386.0599976,8.711202621,381.2099915,7.909421921,381.2099915,7.384880066,
386.9599915,93.34939575,386.9599915,0.7184684277,386.9599915,7.465297222,381.3599854,8.112366676,381.3599854,7.320075989,
388.0299988,83.91979218,388.0299988,0.732619524,388.0299988,6.580016136,381.6600037,9.009076118,381.6600037,7.762075901,
388.9299927,78.46688843,388.9299927,0.6991122961,388.9299927,6.257103443,381.8099976,9.769731522,381.8099976,8.060618401,
390,74.85409546,390,0.5306614637,390,5.766727924,381.9599915,10.07553577,381.9599915,8.25390625,
391.0599976,74.50444031,391.0599976,0.5997920036,391.0599976,6.002347946,382.269989,10.49762535,382.269989,8.466532707,
391.9599915,76.01389313,391.9599915,0.7303543687,391.9599915,5.845684052,382.4200134,10.79303455,382.4200134,8.708282471,
393.0299988,79.83796692,393.0299988,0.6358680129,393.0299988,6.163991451,382.5700073,10.84835529,382.5700073,8.554953575,
393.9299927,84.09989929,393.9299927,0.6571329832,393.9299927,6.675382137,382.7200012,11.08078671,382.7200012,8.968206406,
395,91.92453766,395,0.7281937599,395,6.955734253,383.0299988,11.35426903,383.0299988,9.118281364,
396.0599976,102.3871231,396.0599976,0.7152319551,396.0599976,7.658888817,383.1799927,11.42804432,383.1799927,9.158612251,
396.9599915,117.3900299,396.9599915,0.8213835359,396.9599915,8.531622887,383.3299866,11.47311497,383.3299866,9.342513084,
398.0299988,144.8120117,398.0299988,0.9803310037,398.0299988,10.12598991,383.6300049,11.32257271,383.6300049,9.676712036,
398.9299927,179.8704987,398.9299927,1.225581288,398.9299927,12.73074436,383.7799988,11.41797543,383.7799988,9.472732544,
400,227.4676514,400,1.631855845,400,15.90265369,383.9299927,11.20141888,383.9299927,9.855641365,
401.0599976,291.8146057,401.0599976,2.118996859,401.0599976,20.20506096,384.2399902,10.86460495,384.2399902,10.24504375,
401.9599915,370.2401428,401.9599915,2.65420413,401.9599915,26.09560585,384.3900146,10.69084644,384.3900146,10.35767078,
403.0299988,482.0880127,403.0299988,3.450092554,403.0299988,33.63030624,384.5400085,10.52279186,384.5400085,10.58102322,
403.9299927,617.4642334,403.9299927,4.390365601,403.9299927,42.88879395,384.8399963,10.41224575,384.8399963,10.51733589,
405,792.4719849,405,5.807504177,405,55.37176132,385,10.17199326,385,10.37547207,
406.0599976,1000,406.0599976,7.326032162,406.0599976,72.25949097,385.1499939,9.889866829,385.1499939,11.06883907,
406.9599915,1000,406.9599915,8.863111496,406.9599915,87.81344604,385.4500122,9.461483955,385.4500122,11.0945406,
408.0299988,1000,408.0299988,11.14775562,408.0299988,110.1522217,385.6000061,9.186861992,385.6000061,11.25919056,
408.9299927,1000,408.9299927,13.54143238,408.9299927,133.5381317,385.75,8.953619003,385.75,11.3270731,
410,1000,410,16.25201035,410,161.4522552,386.0599976,8.66904068,386.0599976,11.84879875,
411.0599976,1000,411.0599976,20.21684647,411.0599976,190.1709747,386.2099915,8.681702614,386.2099915,11.94692135,
411.9599915,1000,411.9599915,22.17282295,411.9599915,214.2578278,386.3599854,8.417154312,386.3599854,12.07950783,
413.0299988,1000,413.0299988,25.24200439,413.0299988,242.2361145,386.6600037,7.863735676,386.6600037,12.68115902,
413.9299927,1000,413.9299927,27.78322411,413.9299927,264.0737305,386.8099976,7.660959244,386.8099976,13.38977623,
415,1000,415,30.88396072,415,291.9982605,386.9599915,7.494869232,386.9599915,13.5831728,
416.0599976,1000,416.0599976,33.48456573,416.0599976,315.282959,387.269989,7.347485542,387.269989,13.44056892,
416.9599915,1000,416.9599915,34.81505203,416.9599915,331.8327637,387.4200134,7.086277485,387.4200134,14.17800426,
418.0299988,1000,418.0299988,36.5464325,418.0299988,347.8524475,387.5700073,6.941384792,387.5700073,14.6210804,
418.9299927,1000,418.9299927,37.77078629,418.9299927,355.1693726,387.7200012,6.846654892,387.7200012,14.7894125,
420,1000,420,38.77910614,420,365.8580017,388.0299988,6.442166328,388.0299988,15.86552906,
421.0599976,1000,421.0599976,39.30174255,421.0599976,371.4949341,388.1799927,6.526640892,388.1799927,16.06139565,
421.9599915,1000,421.9599915,39.87239838,421.9599915,373.6659241,388.3299866,6.492385387,388.3299866,16.86968422,
423.0299988,1000,423.0299988,39.44053268,423.0299988,373.5794983,388.6300049,6.340746403,388.6300049,17.40384674,
423.9299927,1000,423.9299927,39.27034378,423.9299927,372.5244141,388.7799988,6.279276371,388.7799988,18.43643761,
425,1000,425,38.90945435,425,366.5700073,388.9299927,6.172187805,388.9299927,19.14185905,
426.0599976,1000,426.0599976,37.73608398,426.0599976,362.0382385,389.2399902,6.140172005,389.2399902,21.27325439,
426.9599915,1000,426.9599915,37.56386185,426.9599915,353.052124,389.3900146,6.114361763,389.3900146,21.8019619,
428.0299988,1000,428.0299988,36.9174118,428.0299988,346.5808105,389.5400085,6.025879383,389.5400085,22.29097939,
428.9299927,1000,428.9299927,35.94569016,428.9299927,341.1760254,389.8399963,5.917174339,389.8399963,24.08694458,
430,1000,430,35.52730942,430,334.9926758,390,5.926739216,390,25.07338715,
431.0599976,1000,431.0599976,34.79203415,431.0599976,330.0230408,390.1499939,5.933024406,390.1499939,26.77119637,
431.9599915,1000,431.9599915,33.87486267,431.9599915,323.4034119,390.4500122,5.866428375,390.4500122,30.31714058,
433.0299988,1000,433.0299988,33.65790939,433.0299988,318.6670837,390.6000061,5.860577583,390.6000061,31.82947922,
