Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,Pyranine in Water,,Pyranine in Water,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,79.45265961,380,0.4491810203,380,5.194143295,380,5.351608276,380,5.791408062,380,26.06520653,380,2.437428951,
381.0599976,91.53988647,381.0599976,0.7885567546,381.0599976,7.722970963,380.1499939,5.456592083,380.1499939,5.671016216,380.1499939,27.26087952,380.1499939,2.602026701,
381.9599915,104.8462219,381.9599915,1.122625232,381.9599915,10.29854488,380.4500122,6.19893074,380.4500122,6.153628826,380.4500122,31.67035484,380.4500122,3.10631299,
383.0299988,113.7044373,383.0299988,1.318765283,383.0299988,11.27970219,380.6000061,6.562609673,380.6000061,6.444192886,380.6000061,34.8697319,380.6000061,3.35759306,
383.9299927,115.2506866,383.9299927,1.243936539,383.9299927,11.09582138,380.75,6.935265064,380.75,6.733942986,380.75,37.3866806,380.75,3.528876305,
385,111.2473068,385,1.173617601,385,10.13050175,381.0599976,7.590661526,381.0599976,6.954314709,381.0599976,41.31173325,381.0599976,3.959247351,
386.0599976,103.2841263,386.0599976,1.032586694,386.0599976,8.711202621,381.2099915,7.909421921,381.2099915,7.384880066,381.2099915,43.00869751,381.2099915,4.232454777,
386.9599915,93.34939575,386.9599915,0.7184684277,386.9599915,7.465297222,381.3599854,8.112366676,381.3599854,7.320075989,381.3599854,45.18830109,381.3599854,4.664196491,
388.0299988,83.91979218,388.0299988,0.732619524,388.0299988,6.580016136,381.6600037,9.009076118,381.6600037,7.762075901,381.6600037,51.48134613,381.6600037,5.25149107,
388.9299927,78.46688843,388.9299927,0.6991122961,388.9299927,6.257103443,381.8099976,9.769731522,381.8099976,8.060618401,381.8099976,55.79801178,381.8099976,5.808638573,
390,74.85409546,390,0.5306614637,390,5.766727924,381.9599915,10.07553577,381.9599915,8.25390625,381.9599915,58.96691895,381.9599915,6.270402431,
391.0599976,74.50444031,391.0599976,0.5997920036,391.0599976,6.002347946,382.269989,10.49762535,382.269989,8.466532707,382.269989,62.50782394,382.269989,6.792307854,
391.9599915,76.01389313,391.9599915,0.7303543687,391.9599915,5.845684052,382.4200134,10.79303455,382.4200134,8.708282471,382.4200134,63.61819077,382.4200134,6.823033333,
393.0299988,79.83796692,393.0299988,0.6358680129,393.0299988,6.163991451,382.5700073,10.84835529,382.5700073,8.554953575,382.5700073,65.82866669,382.5700073,7.174703121,
393.9299927,84.09989929,393.9299927,0.6571329832,393.9299927,6.675382137,382.7200012,11.08078671,382.7200012,8.968206406,382.7200012,66.55023956,382.7200012,7.163100719,
395,91.92453766,395,0.7281937599,395,6.955734253,383.0299988,11.35426903,383.0299988,9.118281364,383.0299988,70.52960968,383.0299988,7.939816475,
396.0599976,102.3871231,396.0599976,0.7152319551,396.0599976,7.658888817,383.1799927,11.42804432,383.1799927,9.158612251,383.1799927,70.61317444,383.1799927,7.68039465,
396.9599915,117.3900299,396.9599915,0.8213835359,396.9599915,8.531622887,383.3299866,11.47311497,383.3299866,9.342513084,383.3299866,70.85005951,383.3299866,8.080492973,
398.0299988,144.8120117,398.0299988,0.9803310037,398.0299988,10.12598991,383.6300049,11.32257271,383.6300049,9.676712036,383.6300049,71.17046356,383.6300049,8.083621979,
398.9299927,179.8704987,398.9299927,1.225581288,398.9299927,12.73074436,383.7799988,11.41797543,383.7799988,9.472732544,383.7799988,72.24649811,383.7799988,8.015474319,
400,227.4676514,400,1.631855845,400,15.90265369,383.9299927,11.20141888,383.9299927,9.855641365,383.9299927,71.18146515,383.9299927,7.906860828,
401.0599976,291.8146057,401.0599976,2.118996859,401.0599976,20.20506096,384.2399902,10.86460495,384.2399902,10.24504375,384.2399902,70.06331635,384.2399902,7.538603306,
401.9599915,370.2401428,401.9599915,2.65420413,401.9599915,26.09560585,384.3900146,10.69084644,384.3900146,10.35767078,384.3900146,68.80752563,384.3900146,7.556055546,
403.0299988,482.0880127,403.0299988,3.450092554,403.0299988,33.63030624,384.5400085,10.52279186,384.5400085,10.58102322,384.5400085,68.19104004,384.5400085,7.652650833,
403.9299927,617.4642334,403.9299927,4.390365601,403.9299927,42.88879395,384.8399963,10.41224575,384.8399963,10.51733589,384.8399963,66.59697723,384.8399963,7.229230881,
405,792.4719849,405,5.807504177,405,55.37176132,385,10.17199326,385,10.37547207,385,65.30252075,385,7.022734642,
406.0599976,1000,406.0599976,7.326032162,406.0599976,72.25949097,385.1499939,9.889866829,385.1499939,11.06883907,385.1499939,64.40609741,385.1499939,6.97764349,
406.9599915,1000,406.9599915,8.863111496,406.9599915,87.81344604,385.4500122,9.461483955,385.4500122,11.0945406,385.4500122,60.53080368,385.4500122,6.664284706,
408.0299988,1000,408.0299988,11.14775562,408.0299988,110.1522217,385.6000061,9.186861992,385.6000061,11.25919056,385.6000061,58.87897873,385.6000061,6.35243082,
408.9299927,1000,408.9299927,13.54143238,408.9299927,133.5381317,385.75,8.953619003,385.75,11.3270731,385.75,57.87013245,385.75,6.161256313,
410,1000,410,16.25201035,410,161.4522552,386.0599976,8.66904068,386.0599976,11.84879875,386.0599976,55.95912552,386.0599976,6.031615257,
411.0599976,1000,411.0599976,20.21684647,411.0599976,190.1709747,386.2099915,8.681702614,386.2099915,11.94692135,386.2099915,54.39525223,386.2099915,6.047357082,
411.9599915,1000,411.9599915,22.17282295,411.9599915,214.2578278,386.3599854,8.417154312,386.3599854,12.07950783,386.3599854,53.47754288,386.3599854,5.543102741,
413.0299988,1000,413.0299988,25.24200439,413.0299988,242.2361145,386.6600037,7.863735676,386.6600037,12.68115902,386.6600037,48.90187073,386.6600037,5.176810741,
413.9299927,1000,413.9299927,27.78322411,413.9299927,264.0737305,386.8099976,7.660959244,386.8099976,13.38977623,386.8099976,47.53789902,386.8099976,5.121331215,
415,1000,415,30.88396072,415,291.9982605,386.9599915,7.494869232,386.9599915,13.5831728,386.9599915,46.30508804,386.9599915,4.948045731,
416.0599976,1000,416.0599976,33.48456573,416.0599976,315.282959,387.269989,7.347485542,387.269989,13.44056892,387.269989,45.39888,387.269989,4.655874252,
416.9599915,1000,416.9599915,34.81505203,416.9599915,331.8327637,387.4200134,7.086277485,387.4200134,14.17800426,387.4200134,44.14994431,387.4200134,4.69421196,
418.0299988,1000,418.0299988,36.5464325,418.0299988,347.8524475,387.5700073,6.941384792,387.5700073,14.6210804,387.5700073,42.35991669,387.5700073,4.802793503,
418.9299927,1000,418.9299927,37.77078629,418.9299927,355.1693726,387.7200012,6.846654892,387.7200012,14.7894125,387.7200012,40.55605316,387.7200012,4.345966339,
420,1000,420,38.77910614,420,365.8580017,388.0299988,6.442166328,388.0299988,15.86552906,388.0299988,38.92681122,388.0299988,4.051157951,
421.0599976,1000,421.0599976,39.30174255,421.0599976,371.4949341,388.1799927,6.526640892,388.1799927,16.06139565,388.1799927,38.56450653,388.1799927,3.980876446,
421.9599915,1000,421.9599915,39.87239838,421.9599915,373.6659241,388.3299866,6.492385387,388.3299866,16.86968422,388.3299866,37.71578598,388.3299866,3.932605505,
423.0299988,1000,423.0299988,39.44053268,423.0299988,373.5794983,388.6300049,6.340746403,388.6300049,17.40384674,388.6300049,35.57143402,388.6300049,3.814891338,
423.9299927,1000,423.9299927,39.27034378,423.9299927,372.5244141,388.7799988,6.279276371,388.7799988,18.43643761,388.7799988,35.44620514,388.7799988,3.820099831,
425,1000,425,38.90945435,425,366.5700073,388.9299927,6.172187805,388.9299927,19.14185905,388.9299927,34.27165222,388.9299927,3.604953527,
426.0599976,1000,426.0599976,37.73608398,426.0599976,362.0382385,389.2399902,6.140172005,389.2399902,21.27325439,389.2399902,32.45451736,389.2399902,3.489434004,
426.9599915,1000,426.9599915,37.56386185,426.9599915,353.052124,389.3900146,6.114361763,389.3900146,21.8019619,389.3900146,32.46320724,389.3900146,3.408021927,
428.0299988,1000,428.0299988,36.9174118,428.0299988,346.5808105,389.5400085,6.025879383,389.5400085,22.29097939,389.5400085,32.48435593,389.5400085,3.34797287,
428.9299927,1000,428.9299927,35.94569016,428.9299927,341.1760254,389.8399963,5.917174339,389.8399963,24.08694458,389.8399963,31.5183506,389.8399963,3.32376194,
430,1000,430,35.52730942,430,334.9926758,390,5.926739216,390,25.07338715,390,30.22735596,390,3.309393883,
431.0599976,1000,431.0599976,34.79203415,431.0599976,330.0230408,390.1499939,5.933024406,390.1499939,26.77119637,390.1499939,30.2240715,390.1499939,3.266787529,
431.9599915,1000,431.9599915,33.87486267,431.9599915,323.4034119,390.4500122,5.866428375,390.4500122,30.31714058,390.4500122,29.32888222,390.4500122,3.112422228,
433.0299988,1000,433.0299988,33.65790939,433.0299988,318.6670837,390.6000061,5.860577583,390.6000061,31.82947922,390.6000061,28.73786926,390.6000061,3.057585478,
433.9299927,1000,433.9299927,33.60323334,433.9299927,315.0963745,390.75,5.965564728,390.75,33.03580093,390.75,29.21438789,390.75,3.05580616,
435,1000,435,33.14935303,435,312.15625,391.0599976,5.900902271,391.0599976,35.7621727,391.0599976,28.1761055,391.0599976,2.90387845,
436.0599976,1000,436.0599976,32.4483757,436.0599976,309.0336914,391.2099915,5.78249979,391.2099915,38.22666168,391.2099915,28.43679428,391.2099915,3.102178335,
436.9599915,1000,436.9599915,32.49531937,436.9599915,307.4362488,391.3599854,5.992349625,391.3599854,41.88817215,391.3599854,27.51902771,391.3599854,2.907685757,
438.0299988,1000,438.0299988,32.63996124,438.0299988,306.8878479,391.6600037,6.036433697,391.6600037,50.84666443,391.6600037,27.03636932,391.6600037,2.983630419,
438.9299927,1000,438.9299927,31.96306992,438.9299927,304.5878906,391.8099976,6.097681046,391.8099976,52.73813248,391.8099976,27.10296631,391.8099976,2.700932503,
440,1000,440,31.36750031,440,301.8528137,391.9599915,6.083631992,391.9599915,55.89099884,391.9599915,26.61301804,391.9599915,2.808758736,
441.0400085,1000,441.0400085,31.2089386,441.0400085,298.9370117,392.269989,6.132117748,392.269989,62.35325623,392.269989,26.67538834,392.269989,2.829834938,
441.9400024,1000,441.9400024,30.83531761,441.9400024,294.5302734,392.4200134,6.238350868,392.4200134,65.88988495,392.4200134,27.08418465,392.4200134,2.889134169,
442.980011,1000,442.980011,30.90679169,442.980011,290.9211731,392.5700073,6.313597202,392.5700073,72.72714996,392.5700073,26.44756126,392.5700073,2.794825554,
444.019989,1000,444.019989,30.33711433,444.019989,286.8822327,392.7200012,6.300441742,392.7200012,80.30922699,392.7200012,26.16096497,392.7200012,2.830669403,
445.0700073,1000,445.0700073,29.76716805,445.0700073,279.4026489,393.0299988,6.265281677,393.0299988,90.64745331,393.0299988,25.73016357,393.0299988,2.843784332,
445.9700012,1000,445.9700012,28.99965286,445.9700012,274.9854126,393.1799927,6.500993252,393.1799927,93.98621368,393.1799927,26.08101845,393.1799927,2.665261745,
447.0100098,1000,447.0100098,28.49010277,447.0100098,269.9072876,393.3299866,6.48944664,393.3299866,99.40131378,393.3299866,25.70533752,393.3299866,2.780836105,
448.0499878,1000,448.0499878,27.89147758,448.0499878,262.2956848,393.6300049,6.560709953,393.6300049,114.2951126,393.6300049,25.5897274,393.6300049,2.819997549,
448.9500122,1000,448.9500122,26.5669384,448.9500122,253.6828461,393.7799988,6.631859303,393.7799988,125.1074677,393.7799988,25.58090782,393.7799988,2.614608049,
450,1000,450,25.90973473,450,244.8249054,393.9299927,6.815750122,393.9299927,136.6051331,393.9299927,25.34314156,393.9299927,2.801453829,
451.0599976,1000,451.0599976,24.41830826,451.0599976,235.6751709,394.2399902,6.951180935,394.2399902,152.2511444,394.2399902,25.04748726,394.2399902,2.557208061,
451.9599915,1000,451.9599915,23.72399712,451.9599915,228.2381897,394.3900146,6.736727238,394.3900146,157.5164185,394.3900146,25.58415413,394.3900146,2.641975164,
,,453.0299988,23.48779106,453.0299988,220.8631439,394.5400085,6.987595081,394.5400085,164.1049347,394.5400085,24.76640892,394.5400085,2.592711449,
,,453.9299927,22.95586967,453.9299927,214.6210938,394.8399963,7.124140263,394.8399963,182.9728088,394.8399963,24.64182281,394.8399963,2.773548126,
