Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),
380,1.544510841,
380.1499939,1.48799324,
380.4500122,1.791157246,
380.6000061,1.977587342,
380.75,2.17038846,
381.0599976,2.201045752,
381.2099915,2.329769373,
381.3599854,2.531285763,
381.6600037,2.868573666,
381.8099976,2.906920671,
381.9599915,3.107280254,
382.269989,3.403969288,
382.4200134,3.390198946,
382.5700073,3.417076588,
382.7200012,3.606148005,
383.0299988,3.551771402,
383.1799927,3.647707462,
383.3299866,3.775214911,
383.6300049,3.677281857,
383.7799988,3.68423748,
383.9299927,3.605364561,
384.2399902,3.3460145,
384.3900146,3.350374699,
384.5400085,3.214464903,
384.8399963,3.348403215,
385,3.286833286,
385.1499939,3.04445529,
385.4500122,2.968996763,
385.6000061,2.904567003,
385.75,2.868453503,
386.0599976,2.571239233,
386.2099915,2.591479063,
386.3599854,2.664851189,
386.6600037,2.312124014,
386.8099976,2.267503262,
386.9599915,2.241268158,
387.269989,2.321910143,
387.4200134,2.286658525,
387.5700073,2.078328371,
387.7200012,2.139822483,
388.0299988,1.986284494,
388.1799927,2.048358917,
388.3299866,2.053102732,
388.6300049,1.880350947,
388.7799988,2.025667429,
388.9299927,1.957700372,
389.2399902,1.925269127,
389.3900146,1.954088688,
389.5400085,1.811255574,
389.8399963,1.882459521,
390,1.76087904,
390.1499939,1.883543968,
390.4500122,1.886903286,
390.6000061,1.828398108,
390.75,1.721148491,
391.0599976,1.836447358,
391.2099915,1.700723767,
391.3599854,1.890043139,
391.6600037,1.852580309,
391.8099976,1.854341865,
391.9599915,1.873099089,
392.269989,2.016231775,
392.4200134,1.841805935,
392.5700073,2.019530535,
392.7200012,2.167137384,
393.0299988,2.011561632,
393.1799927,2.085519314,
393.3299866,2.067057133,
393.6300049,2.049401999,
393.7799988,2.201626062,
393.9299927,2.162053823,
394.2399902,2.133200645,
394.3900146,2.275818586,
394.5400085,2.224179506,
394.8399963,2.228419542,
395,2.231476784,
395.1499939,2.113376617,
395.4500122,2.251714706,
395.6000061,2.400737524,
395.75,2.429624557,
396.0599976,2.448493004,
396.2099915,2.556889057,
396.3599854,2.628940105,
396.6600037,2.594206572,
396.8099976,2.616712332,
396.9599915,2.580005646,
397.269989,2.861292839,
397.4200134,2.797245979,
397.5700073,2.795009851,
397.7200012,3.141885996,
398.0299988,3.056189299,
398.1799927,3.244722843,
398.3299866,3.267114162,
398.6300049,3.33104682,
398.7799988,3.636206627,
398.9299927,3.850165606,
399.2399902,3.969083071,
399.3900146,4.181520939,
399.5400085,4.338394642,
399.8399963,4.493322372,
400,4.800022125,
400.1499939,4.987295151,
400.4500122,5.32845974,
400.6000061,5.523446083,
400.75,5.705133915,
401.0599976,6.164549828,
401.2099915,6.551556587,
401.3599854,6.787185192,
401.6600037,7.161950111,
401.8099976,7.439983368,
401.9599915,7.755603313,
402.269989,8.087290764,
402.4200134,8.765480042,
402.5700073,9.097445488,
402.7200012,9.574313164,
403.0299988,10.09020996,
403.1799927,10.35160732,
403.3299866,10.71372509,
403.6300049,11.73688984,
403.7799988,12.12748337,
403.9299927,12.49166203,
404.2399902,13.11352253,
404.3900146,13.67509365,
404.5400085,14.20773506,
404.8399963,15.76381207,
405,16.58645439,
405.1499939,16.91861916,
405.4500122,17.86537552,
405.6000061,18.48974609,
405.75,19.08126831,
406.0599976,21.38801575,
406.2099915,22.41837502,
406.3599854,23.47225571,
406.6600037,24.03132629,
406.8099976,25.01220703,
406.9599915,26.31898117,
407.269989,28.79137039,
407.4200134,29.91376305,
407.5700073,30.62380981,
407.7200012,31.69099617,
408.0299988,33.6294136,
408.1799927,34.81702042,
408.3299866,36.28822708,
408.6300049,39.42311478,
408.7799988,39.98363113,
408.9299927,41.32851791,
409.2399902,43.12564087,
409.3900146,44.46004105,
409.5400085,45.64506149,
409.8399963,48.96757126,
410,50.97306442,
410.1499939,51.77106857,
410.4500122,54.36453629,
410.6000061,54.89128494,
410.75,57.77830505,
