50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
380,0.07318188995,380,2.269256353,
380.1499939,0.07983983308,380.1499939,2.368902206,
380.4500122,0.07996407896,380.4500122,2.737846613,
380.6000061,0.06191337109,380.6000061,2.955498219,
380.75,0.06346143782,380.75,2.979685068,
381.0599976,0.08244075626,381.0599976,3.160888672,
381.2099915,0.04976021871,381.2099915,3.582992315,
381.3599854,-0.03107616864,381.3599854,3.603614807,
381.6600037,0.01246711798,381.6600037,4.021740913,
381.8099976,0.006220530253,381.8099976,4.003657341,
381.9599915,-0.01873805374,381.9599915,4.222688675,
382.269989,0.01233707368,382.269989,4.485860825,
382.4200134,0.04916692525,382.4200134,4.450399876,
382.5700073,0.02453716844,382.5700073,4.61067152,
382.7200012,0.006201627664,382.7200012,4.576476097,
383.0299988,0.04331978038,383.0299988,4.474820614,
383.1799927,0.0485239625,383.1799927,4.399589062,
383.3299866,0.06102435663,383.3299866,4.4612813,
383.6300049,0.006062700413,383.6300049,4.480287075,
383.7799988,0.03113073111,383.7799988,4.256913185,
383.9299927,0.01905960031,383.9299927,4.137067318,
384.2399902,0.07389617711,384.2399902,4.064320087,
384.3900146,0,384.3900146,4.083220005,
384.5400085,0.07462640852,384.5400085,4.181540012,
384.8399963,-0.0125703942,384.8399963,3.953599453,
385,0.0185691826,385,3.83584857,
385.1499939,-0.02498984709,385.1499939,3.471501589,
385.4500122,0.05677803606,385.4500122,3.490217447,
385.6000061,0.01931135729,385.6000061,3.540225744,
385.75,0.1085000187,385.75,3.521953583,
386.0599976,0.02581411228,386.0599976,3.391602516,
386.2099915,-0.01876395568,386.2099915,3.440006495,
386.3599854,0.0434936583,386.3599854,3.250051975,
386.6600037,0.07578388602,386.6600037,3.248524904,
386.8099976,0.07495690137,386.8099976,3.186759233,
386.9599915,0.1672199368,386.9599915,3.084523439,
387.269989,0.01841394603,387.269989,3.131891251,
387.4200134,0.122144118,387.4200134,3.037557125,
387.5700073,0.09209290147,387.5700073,3.16847682,
387.7200012,0.02605880238,387.7200012,3.005345821,
388.0299988,0.02035568096,388.0299988,2.882899761,
388.1799927,0,388.1799927,2.916568279,
388.3299866,0.0541253686,388.3299866,2.967188597,
388.6300049,-0.00690536201,388.6300049,2.883528233,
388.7799988,0.05670112744,388.7799988,2.910904884,
388.9299927,0.01867797226,388.9299927,2.791041136,
389.2399902,0.05670005828,389.2399902,2.959825516,
389.3900146,0.0514376834,389.3900146,2.895843744,
389.5400085,0.07605816424,389.5400085,2.933777571,
389.8399963,0.1006681845,389.8399963,3.066995621,
390,0.05054908991,390,2.924252987,
390.1499939,0.01926633716,390.1499939,3.091001511,
390.4500122,0.08864686638,390.4500122,3.02511096,
390.6000061,0.006315204781,390.6000061,3.045552731,
390.75,0,390.75,3.054202795,
391.0599976,0.02543574572,391.0599976,3.103054047,
391.2099915,0.06992784888,391.2099915,3.084011078,
391.3599854,0.006289387122,391.3599854,3.162258387,
391.6600037,0.01251595747,391.6600037,3.225303173,
391.8099976,0.06307397783,391.8099976,3.15337491,
391.9599915,0.06885198504,391.9599915,3.31857729,
392.269989,0.01267346833,392.269989,3.340058565,
392.4200134,0,392.4200134,3.286302805,
392.5700073,0.01243247651,392.5700073,3.481862783,
392.7200012,0.01917520911,392.7200012,3.4360466,
393.0299988,0.01315590367,393.0299988,3.457368135,
393.1799927,0.08272267878,393.1799927,3.479827404,
393.3299866,0.0530170016,393.3299866,3.498756409,
393.6300049,0.04630916193,393.6300049,3.693832397,
393.7799988,0.09137367457,393.7799988,3.685283184,
393.9299927,0.08708117157,393.9299927,3.735646725,
394.2399902,0.0384177044,394.2399902,3.728507996,
394.3900146,-0.00642780913,394.3900146,3.741155863,
394.5400085,0.07236889005,394.5400085,3.706775188,
394.8399963,0.0259257108,394.8399963,3.747033834,
395,0.06648892164,395,3.844145536,
395.1499939,0.09775871783,395.1499939,3.804068327,
395.4500122,0.03194214404,395.4500122,4.072871208,
395.6000061,0.0254682973,395.6000061,4.020953178,
395.75,0.05678161606,395.75,3.936355829,
396.0599976,0.03737130016,396.0599976,4.024218559,
396.2099915,0.1171631739,396.2099915,4.09523201,
396.3599854,0.01272280887,396.3599854,4.049244881,
396.6600037,0.03136054426,396.6600037,4.014138699,
396.8099976,0.0559033975,396.8099976,4.22743845,
396.9599915,0.01208320446,396.9599915,4.22084856,
397.269989,-0.0121371001,397.269989,4.593505383,
397.4200134,0.12836577,397.4200134,4.580647945,
397.5700073,0.04838075489,397.5700073,4.559434891,
397.7200012,0.02406015061,397.7200012,4.856893063,
398.0299988,0.03644071147,398.0299988,4.76888752,
398.1799927,0.09026465565,398.1799927,4.857932568,
398.3299866,0.02991665155,398.3299866,4.944867611,
398.6300049,0.09656179696,398.6300049,5.520167351,
398.7799988,0.03280366212,398.7799988,5.574178219,
