Pyranine in 10M Water w/ 70:30 mol% 1-butanol:acetonitrile,,
Wavelength (nm),Intensity (a.u.),
380,2.462699175,
380.1499939,2.709189892,
380.4500122,3.125624657,
380.6000061,3.162744284,
380.75,3.378480673,
381.0599976,3.946755648,
381.2099915,3.933461905,
381.3599854,4.125813007,
381.6600037,4.951182842,
381.8099976,5.117224693,
381.9599915,5.265243053,
382.269989,5.368969917,
382.4200134,5.597858906,
382.5700073,5.561924934,
382.7200012,5.490696907,
383.0299988,5.712841988,
383.1799927,5.53643465,
383.3299866,5.696798325,
383.6300049,5.504277229,
383.7799988,5.607174397,
383.9299927,5.263350487,
384.2399902,5.298964977,
384.3900146,5.040908813,
384.5400085,4.922825813,
384.8399963,4.75003767,
385,4.463577747,
385.1499939,4.645663738,
385.4500122,4.310189724,
385.6000061,4.198837757,
385.75,3.961516619,
386.0599976,3.960119963,
386.2099915,3.8769629,
386.3599854,3.683533192,
386.6600037,3.595280886,
386.8099976,3.309240818,
386.9599915,3.176528454,
387.269989,3.223197222,
387.4200134,3.235930443,
387.5700073,3.109890938,
387.7200012,3.026412249,
388.0299988,3.115441799,
388.1799927,2.878385067,
388.3299866,2.840212107,
388.6300049,2.737479448,
388.7799988,2.772036552,
388.9299927,2.777794361,
389.2399902,2.838888407,
389.3900146,2.802878618,
389.5400085,2.788262367,
389.8399963,2.643562555,
390,2.740798712,
390.1499939,2.655849218,
390.4500122,2.717020512,
390.6000061,2.615762711,
390.75,2.711008787,
391.0599976,2.855117559,
391.2099915,2.780420065,
391.3599854,2.81600523,
391.6600037,2.679501295,
391.8099976,2.792145252,
391.9599915,2.77620244,
392.269989,2.908420801,
392.4200134,2.97917676,
392.5700073,2.75385499,
392.7200012,2.964936495,
393.0299988,2.940841675,
393.1799927,2.827381849,
393.3299866,3.051603794,
393.6300049,2.869019985,
393.7799988,3.045859814,
393.9299927,3.163449049,
394.2399902,3.150714397,
394.3900146,2.972162962,
394.5400085,3.013996124,
394.8399963,2.995040894,
395,3.11274004,
395.1499939,3.050205231,
395.4500122,3.318349123,
395.6000061,3.380319595,
395.75,3.147704124,
396.0599976,3.273172379,
396.2099915,3.362511158,
396.3599854,3.178263426,
396.6600037,3.378733158,
396.8099976,3.199889898,
396.9599915,3.371121407,
397.269989,3.635559082,
397.4200134,3.484320641,
397.5700073,3.682819605,
397.7200012,3.723435163,
398.0299988,3.850624323,
398.1799927,3.702206135,
398.3299866,4.001001835,
398.6300049,4.302332401,
398.7799988,4.102426052,
398.9299927,4.383743286,
399.2399902,4.618852615,
399.3900146,4.859032631,
399.5400085,4.819218636,
399.8399963,5.110113144,
400,5.209653854,
400.1499939,5.589714527,
400.4500122,5.566470146,
400.6000061,5.835747242,
400.75,6.061830521,
401.0599976,6.675376892,
401.2099915,6.746520996,
401.3599854,6.847665787,
401.6600037,7.155730724,
401.8099976,7.065412998,
401.9599915,7.659871578,
402.269989,8.465219498,
402.4200134,8.227161407,
402.5700073,8.483649254,
402.7200012,8.593299866,
403.0299988,9.007893562,
403.1799927,9.260428429,
403.3299866,9.642447472,
403.6300049,10.11715603,
403.7799988,10.40184689,
403.9299927,10.49728966,
404.2399902,11.04491138,
404.3900146,11.26305294,
404.5400085,11.90985489,
404.8399963,12.9926405,
405,12.68834209,
405.1499939,13.01687431,
405.4500122,13.90303135,
405.6000061,14.66854954,
405.75,15.57312107,
406.0599976,16.27836609,
406.2099915,16.50685692,
406.3599854,17.04438972,
406.6600037,18.25459671,
406.8099976,19.06839752,
406.9599915,20.04088402,
407.269989,21.17572403,
407.4200134,21.69984245,
407.5700073,22.28670692,
407.7200012,23.04473114,
408.0299988,25.36772728,
408.1799927,26.00133133,
408.3299866,26.60852623,
408.6300049,27.88016891,
408.7799988,28.64420319,
408.9299927,29.60664558,
409.2399902,31.91311646,
409.3900146,32.73287582,
409.5400085,33.74939728,
409.8399963,35.68406296,
410,36.41934586,
410.1499939,37.39396667,
410.4500122,40.33678818,
410.6000061,42.6256752,
410.75,44.00761032,
411.0599976,45.78017044,
411.2099915,46.61981583,
411.3599854,48.29247665,
411.6600037,50.59603882,
411.8099976,53.26665497,
411.9599915,54.1570816,
412.269989,56.23473358,
412.4200134,57.31565857,
412.5700073,58.66661835,
412.7200012,60.4030571,
413.0299988,65.31101227,
413.1799927,66.89974976,
413.3299866,67.38288879,
413.6300049,69.19564819,
413.7799988,71.09249878,
413.9299927,72.91897583,
414.2399902,77.60631561,
414.3900146,78.83721161,
414.5400085,80.17717743,
414.8399963,82.62700653,
415,83.7433548,
415.1499939,85.9331131,
415.4500122,90.43960571,
415.6000061,93.31454468,
415.75,94.02539063,
416.0599976,96.21789551,
416.2099915,98.21539307,
416.3599854,99.86595154,
416.6600037,104.5159607,
416.8099976,106.0334702,
416.9599915,107.4024353,
417.269989,110.859375,
417.4200134,112.5617523,
417.5700073,112.9497604,
417.7200012,116.2776108,
418.0299988,119.5681,
418.1799927,120.858696,
418.3299866,121.5858231,
418.6300049,123.0812073,
418.7799988,124.6423569,
418.9299927,128.3514099,
419.2399902,131.9075623,
419.3900146,132.6303101,
419.5400085,133.6896362,
419.8399963,136.4178619,
420,137.6309967,
420.1499939,139.8271637,
420.4500122,144.6298676,
420.6000061,145.5211182,
420.75,145.3781586,
421.0599976,150.327301,
421.2099915,149.7858124,
421.3599854,151.5155182,
421.6600037,153.5257874,
421.8099976,155.8033447,
421.9599915,156.0133209,
422.269989,158.1525879,
422.4200134,158.9766235,
422.5700073,160.6625824,
422.7200012,161.8884277,
423.0299988,163.872406,
423.1799927,164.1916199,
423.3299866,165.3570099,
423.6300049,166.9691162,
423.7799988,166.6233063,
423.9299927,168.9777985,
424.2399902,171.0753174,
424.3900146,171.4390869,
424.5400085,171.2832031,
424.8399963,173.7877502,
425,173.691925,
425.1499939,174.8455963,
425.4500122,175.7405243,
425.6000061,176.4313049,
425.75,177.2961731,
426.0599976,178.6941223,
426.2099915,178.5886993,
426.3599854,180.0827637,
426.6600037,179.370697,
426.8099976,179.8843079,
426.9599915,180.2534943,
427.269989,181.8451233,
427.4200134,182.1927185,
427.5700073,181.8147736,
427.7200012,184.5819397,
428.0299988,182.2989502,
428.1799927,184.4568634,
428.3299866,181.2908478,
428.6300049,183.5396423,
428.7799988,183.1347198,
428.9299927,183.0517273,
429.2399902,184.2731628,
429.3900146,184.5380859,
429.5400085,183.5984039,
429.8399963,184.6586609,
430,184.0750122,
430.1499939,184.0726776,
430.4500122,183.5221558,
430.6000061,184.3006287,
430.75,183.3197174,
431.0599976,184.5439758,
431.2099915,184.0627441,
431.3599854,185.0830994,
431.6600037,184.4665527,
431.8099976,183.3358917,
431.9599915,184.3771515,
432.269989,184.1495667,
432.4200134,183.4400787,
432.5700073,183.4129333,
432.7200012,184.2964478,
433.0299988,182.132309,
433.1799927,183.553299,
433.3299866,183.3883209,
433.6300049,183.4757843,
433.7799988,181.991272,
433.9299927,183.5691986,
434.2399902,183.445816,
434.3900146,182.512558,
434.5400085,182.4186707,
434.8399963,181.9832001,
435,181.6571808,
435.1499939,182.2769318,
435.4500122,181.8581085,
435.6000061,181.5974731,
435.75,180.2517548,
436.0599976,180.2678375,
436.2099915,180.1405334,
436.3599854,180.0638733,
436.6600037,180.5180511,
436.8099976,179.422821,
436.9599915,179.8856201,
437.269989,177.9335175,
437.4200134,177.997757,
437.5700073,177.6187134,
437.7200012,177.9583282,
438.0299988,177.937561,
438.1799927,178.1802521,
438.3299866,177.9967346,
438.6300049,176.6430817,
438.7799988,176.9343262,
438.9299927,176.8696899,
439.2399902,175.0751038,
439.3900146,176.1398621,
439.5400085,176.072052,
439.8399963,174.2221069,
440,174.7303619,
440.1400146,174.9299927,
440.4400024,172.9842377,
440.5899963,174.4308167,
440.7399902,174.033783,
441.0400085,172.4776764,
441.1900024,172.5214386,
441.3399963,173.0436554,
441.6400146,172.1951447,
441.7900085,171.881134,
441.9400024,171.4390106,
442.230011,170.9150238,
442.3800049,170.8303833,
442.5299988,170.1255646,
442.8299866,169.6824188,
442.980011,169.8065491,
443.1300049,170.8735199,
443.4299927,168.9049988,
443.5799866,168.2051086,
443.730011,168.0659485,
444.019989,167.5315094,
444.1700134,168.0866241,
444.3200073,167.3784027,
444.6199951,166.3912811,
444.769989,165.4859924,
445.0700073,164.1525879,
445.2200012,164.9115295,
445.3699951,164.937561,
445.6700134,163.8736572,
445.8200073,162.7675934,
445.9700012,162.4640045,
446.2600098,162.5225067,
446.4100037,162.548111,
446.5599976,162.6375275,
446.7099915,161.2261658,
447.0100098,159.6888733,
447.1600037,160.1613159,
447.4599915,158.9512939,
447.6099854,158.7365875,
447.7600098,158.0937653,
448.0499878,158.1987457,
448.2000122,158.1618805,
448.3500061,157.3982391,
448.6499939,155.8147278,
448.7999878,156.1043854,
448.9500122,154.9942017,
449.25,154.0518646,
449.3999939,153.310318,
449.5499878,153.5458069,
449.8500061,152.3621674,
450,151.6022491,
450.1499939,151.4067535,
450.4500122,150.0909882,
450.6000061,149.4463501,
450.75,149.1429291,
451.0599976,148.5542908,
451.2099915,147.7556915,
451.3599854,147.2884979,
451.6600037,146.9424438,
451.8099976,145.3727875,
451.9599915,145.2250671,
452.269989,144.6632233,
452.4200134,145.2173615,
452.5700073,145.1667786,
452.7200012,143.1291351,
453.0299988,142.6655273,
453.1799927,141.8812561,
453.3299866,140.6419678,
453.6300049,141.2736969,
453.7799988,141.3649139,
453.9299927,140.6971588,
454.2399902,138.2523041,
454.3900146,137.3548584,
454.5400085,136.4073944,
454.8399963,137.2768402,
455,135.5942688,
455.1499939,135.2020111,
